College,Source,Quick description,Link to object ,Date (source),Date (event),Number of students (if available),"Size/Scope: small, medium, large, entire student body",Reason,Cause (if known/if any),General umbrella tags,"Against who? (speaker, admin, profs, newspaper?)",Group involvement,Name of group involvement (if any),Effect (if known),How/Method,Location,Is this object linked to other objects?,Name under all objects are linked ,Text OCR
Haverford,"Hetzel, Theodore Brinton, 1906-1990 (HC photographer)","Image of Door with event posters, one describes a forum on US policy in Vietnam.",https://digitalcollections.tricolib.brynmawr.edu/object/hc30631,1905-05-18,,,,To end the Vietnam war,Escalating US miitary involvement in Vietnam,"anti-war, Vietnam war, march",government,students,,,forum,"Roberts Hall, Haverford College",Yes,hc_vietnam,
Haverford,"Hetzel, Theodore Brinton, 1906-1990 (HC photographer)","Image of Haverford students getting on buses to get to a rally known as Spring Mobilization, in New York. ","https://digitalcollections.tricolib.brynmawr.edu/object/hc30025",1905-05-20,,,,To end the Vietnam war,Escalating US miitary involvement in Vietnam,"anti-war, Vietnam war, march",government,"students, professors, anti-war activists ",National Mobilization Committee to End the War in Vietnam,,"marching, poster making",New York City,Yes,hc_vietnam,
Haverford,"Hetzel, Theodore Brinton, 1906-1990 (HC photographer)",Image of Haverford students at the Spring Mobilization in New York.,https://digitalcollections.tricolib.brynmawr.edu/object/hc30624,1905-05-20,,,,To end the Vietnam war,Escalating US miitary involvement in Vietnam,"anti-war, Vietnam war, march",government,"students, professors, anti-war activists ",,,"marching, poster making",New York City,Yes,hc_vietnam,
Haverford,"Hetzel, Theodore Brinton, 1906-1990 (HC photographer)",Image of Haverford students performing a demonstration at the Spring Mobilization highlighting a monster on a leash with a sign saying War, https://digitalcollections.tricolib.brynmawr.edu/object/hc30611,1905-05-20,,3,,To end the Vietnam war,Escalating US miitary involvement in Vietnam,"anti-war, Vietnam war, march",government,students,,,demonstration,New York City,Yes,hc_vietnam,
Haverford,"Hetzel, Theodore Brinton, 1906-1990 (HC photographer)",Image of Haverford students protesting housing discrimination in the local area,https://digitalcollections.tricolib.brynmawr.edu/object/hc30598,1905-05-20,,,,To end the housing discrimination that was occurring in Lower Merion (local suburb),Redlining in the area,"housing, discrimination, racism",government,students,,,protest with posters,,,,
Haverford,Keino Robinson (interviewer) Sam Foley (interviewee) Sara Shumer (interviewee),"Thesis about Black students' experience at Haverford, in which Robinson interviews a student who was a part of the BSL Boycott and a professor who was the liaison for the students. It also includes appendixes with a timeline of the events of 1972 and their demands.",http://hdl.handle.net/10066/6406,1905-06-13,"February 8th to February 25th, 1972",,large,Black students at Haverford wanted more input to the campus. ,"On February 7, 1972, ten administrators (called the Lyons Committee) released a document detailing how the campus would improve Haverford's effectiveness educating minorities. It also ""urged that the BSL assume more leadership in carrying out appropriate festivals and exhibits"". This document was written and presented to Students' Council and Honor council with no input from Black and minority students at Haverford.","racism, discrimination, campus governance, boycott",college administration,students and professors,"Black Students' League. Puerto Rican Students at Haverford, Concerned Group of Women",16 symbolic genstures met,"Stopped Plenary to announce boycott of Student Council elections and all campus activities except academics and employment, multiple silent vigils, replaced American flag with Black Liberation flag",Haverford College,Yes,hc_'72boycott,"African-American Student Protest At Haverford College
Two Case Studies
Case Study I
This chapter compares alienation of African-American
Haverford college students in 1972 with experiences of current
African-American students. According to my argument, recurring
themes of alienation have pervaded Haverford during the past
twenty years. Originally my hypothesis proposed that alienation
caused student protest. Evidence gathered indicates that students in
1972 felt and students in 1991 feel alienated. This should lead to
student protest.
On February 3, 1972, the Black Students League (BSL) of
Haverford College held a boycott. The Black Students League
boycotted all activities at Haverford with the exception of classes and
campus jobs. 22 The BSL issued an official statement:
Through the years, the college has maintained a
conscious and disastrous notion that it is a 'community
marked by a lasting concern of one person for another.'
It is not and it has never been. It is an institution that
which acts a deep and sickening disregard for all other
than the bourgeois white male. We have felt this
disregard in the classroom, in the dining hall, indeed, in
all aspects of life here.
22 ""BSL Boycotts All H'Ford Activities Except Classes, Campus Jobs, David,
Wessel, Bryn Mawr-Haverford College The News, February 11, 1972.
22
•
We have made our complaint, our statement,
before; time and discussion passed and it was business as
usual. But not again.
Since we are not integral participants in the college
community we feel that radical action must be taken to
emphasize our outrage at the conditions which heretofore
have prevailed at Haverford.
Again, you know the issues, and in the coming days
there will be no way you can escape them. 23
According to a recent interview with Sam Foley '73, a BSL
member and member of its Communications committee, the Boycott
arose because Black students at Haverford felt that the college did
not commit itself to Black students. 24
Question: How did the BSL Boycott come about?
Response: Well a little background. My Class, the Class of
'73 was the largest influx of Black students that Haverford
had ever had in on e class...There was also a group of postback baccalaureates too. So in that one year there must
have been about 25 to 30 blacks at that point...To make a
long story short, what precipitated our activity and ""Specific
Concerns"" was the high rate of attrition among my
classmates and others and the fact that that attrition, there
was a report...and basically Haverford as I recall placed
responsibility for lack of success, or Haverford did not take
responsibility for our lack of success and we felt that that
was wrong...We knew some action had to be taken...The
decision to boycott came out of our strategy meetings that
we had. 25
23        ""Black Students League Statement"", Ibid Black Students League, February
11, 1972.
•
24 Personal interview with Sam Foley '73 , April 15, 1991.
25 Ibid.
•
•
23
Foley stated that ""the object of the Boycott was to force Haverford to
examine itself."" 26 When asked, ""Do you think the boycott came as a
surprise to the administration?"" Foley responded, ""Yes it did."" 27
An incident in 1972 explains some of the BSL concerns. On
February 7, 1972, ten Haverford administrators (Lyons Committee)
released a ""'very rough draft' of an Educational
Commitment Program"" to Students' Council and Honor
Council...to improve Haverford's effectiveness in the
education of students who, because of racial, ethnic and
economic backgrounds, are now disadvantaged at
Haverford. 28
The program would try to:
To increase campus awareness of cultural traditions in
minority groups, the proposal urged Collections devoted
to enlarging ethnic and cultural consciousness of diverse
groups. Library, dramatic, and musical programs should
take into account minority literature and arts, it stated;
'in addition, it was urged that the BSL assume more
leadership in carrying out appropriate festivals and
exhibits.' 29
The BSL criticized the ""Lyons"" committee (named after Dean James
Lyons), stating that if the committee wanted to create
a document relevant to the life and well-being of the
Black community, why were no Black student members
Administration Draws Up 'Rough' Educational Commitment"", Bryn
1110 Mawr-Haverford College The News, Jay McCreight, February 11, 1972.
29 Ibid.
26 Ibid.
27 Ibid.
28 ""H'ford
•
24
of the committee, or why wasn't the Black community at
least given the opportunity to examine the document
prior to its dissemination to another, barely relevant,
student organization?"" 30
Black students felt that the administration should approach them
directly when decisions concerning Black students arose. The general
Haverford community also chastised the administration for not
making the Educational Commitment Program public to the campus.
Evidently, the administration did not present the report to anyone
except select faculty, Students' Council, and Honor Council.
According to professor Sara Shumer, the Boycott involved
support for minority students in terms of Dean support, student
service support, faculty support, and having a greater presence of
African-American professors. There was concern for a summer
program to help African-American students coming from urban
areas to better adjust to life at Haverford. 31 At this time, Professor
Shumer was an assistant Professor in the Political Science
department whose tenure decision came during the 1972-1973
academic year. Along with professor William Hohenstein of the
Sociology department, Sara Shumer served as a BSL appointed liaison
between students and faculty. BSL students wanted more input in
the college decision-making process at all levels. 32 Governance of
30 Ibid.
31 Personal interview with Sara Shumer, April 15, 1991.
32 Ibid.
•
25
campus life became a primary issue for Black students. For these
main reasons, the BSL held their boycott.
The Bi-College News printed a synopsis of the BSL boycott on
February 18, 1972. A chronology of the events crystallizes the issues
and subsequent action that took place. SEE APPENDIX VIII.
According to ex-President, John Coleman, the Boycott ""was
clearly the most tense time of my presidency and in many ways, the
most profoundly educational of the experiences I had at
Haverford."" 33
During the early part of the protest many of the faculty and the
administration did not understand why the BSL protested. Shumer
stated that many faculty...""didn't understand why there was a need
for change. We have one community, we accept everybody, but
people are obviously hurting..."" 34 Part of the confusion stemmed
from the fact that the BSL had not listed any specific demands.
According to Shumer, the Boycott forced the faculty and
administration to think through what they saw as the problem. This
strategy would not allow the administration to simply meet certain
demands without ""any change of heart, without any change of
consciousness, without any change of feeling about what one ought to
be concerned about."" 35
On February 20, the BSL issued a statement and list of ""Specific
Concerns"" to give to the faculty and administration. The statement
33 Personal Interview, John Coleman, April 11, 1991.
34 Personal Interview, Sara Shumer, April 15, 1991.
35 Ibid.
•
•
26
called for a 5:00 p.m. deadline on February 25, 1972 to comply with
their stated demands. SEE APPENDIX IX for the complete
statement.
The College met the 5:00 deadline by issuing a five-page pointby-point document. The administration distributed eight copies of
the budget to the BSL and Puerto Rican students, which included a
call for the reconstitution of the Study Group on Governance 'to
address the matter of institutionalized diversity;' 36 the college
suspended all admissions material to prospective students that
afternoon; the Students Council suspended operations; the Academic
Council promised to include BSL and other minority input when
'formulating policies and practices concerning the selection, hiring,
and reappointing of faculty. 37 President Coleman, in a February 23
meeting with the Board of managers, stated that he would make no
further recommendations to the Board of managers until 'minority
groups likely to be affected...have been adequately consulted.' 38 The
College initiated a counselor search committee and a minority
admission search, agreed to a visiting lecture program devoted to
minority concerns, and agreed on a seminar on the legacy of
American minorities. The faculty also supported a summer program
for those desiring and needing one. 3 9
36 ""Administration Makes Initial Gestures; BSL, Puerto Ricans Continue
Boycott,"" David Wessel, Ibid, March 3, 1972.
37 Ibid.
38 Ibid.
39 Ibid.
•
•
27
The boycott continued with meetings between students and the
administration. On March 3, 1972, the News printed a Statement on
Institutionalization of Diversity. SEE APPENDIX X. BSL member
Ghebreselassie Mehreteab called the administration's response...'a
first step towards discussion.'40
The boycott lasted two months and three days ending on April
7, 1972. President Coleman stated that one of the main concerns
that remained after the Boycott and which persists in 1991 involved
Haverford,
""living up to the commitment with regard to faculty
appointments. Making a more aggressive effort to get
Black candidates and to some extent, in time, we began
talking about Hispanics as well but the focus was clearly
on Blacks at that time. I considered that an unfinished
piece of business when I left in 1977, and one of the
biggest disappointments I had at Haverford was a case of
an appointment where I thought we had a really
outstanding Black candidate for one appointment and
could not get it through the Academic Council...I really
felt that this was a time when we were being tested on
that commitment and when we did not really meet the
test.41
•
40 Ibid.
41 Personal Interview, John Coleman, April 11, 1991.
28
Although no immediate structural changes occurred, informal
discussions around campus kept the issues alive. The News reported
that
Members of the [BSI.] have joined other students at
meetings in several dorms, including Rhoads and Barclay.
These far ranging discussions have addressed the
problems of Haverford, its sense--or lack of sense--of
community, some students' difficulties in defining the
problems under discussion, racism, cultural ignorance,
and self-examination. League members picketed
Tuesday's Collection with placards saying, 'End racism in
the classroom, in administration, in social events.' 42
This 1972 event helps to crystallize why Black students felt
alienated from Haverford. Students did not feel that the College
committed itself to diversity. If community at Haverford meant
more than white bourgeois culture, Haverford had to make some
structural changes to insure the survival and nourishment of those
groups different from the dominant or white bourgeois group. 4 3
Black students did not have a voice in administrative policy which
directly affected them. Black students had no opportunity to learn
about their history or culture in the classroom. Sam Foley stated,
""Haverford brought us to the campus but did not see a need to
accommodate us as far as the curriculum was concerned."" 44 When
asked how he felt personally at Haverford, Foley answered:
42 ""BSL Boycotts All H'Ford Activities Except Classes, Campus Jobs, David,
Wessel, Bryn Mawr-Haverford College The News, February 11, 1972.
• 43 Ibid
44 Personal Interview with Sam Foley, April 14, 1991.
•
•
29
•
Question: Did you feel part of the Haverford community?
Response: No.
Question: Did you feel alienated from the community?
Response : Yea, I definitely knew that what they were talking
about as far as community was concerned did not
include me.
Question: What aspects of the community did you not feel
part of?
Response: Well, because Haverford is an academic community
first and foremost, the curriculum didn't reflect
anything that addressed me as a person. It was
basically Eurocentric. 45
Alienation helped spark the Black Students League protest at
Haverford in 1972. The Boycott and administrative response tried to
incorporate Black students into the community. If instituted • correctly, the BSL's ""Specific Concerns"" should have reduced the level
of alienation among Black students and curtailed Black student
protest. By examining Haverford almost twenty years later, we see
if this assumption holds."
Vassar,The Miscellany News,,https://newspaperarchives.vassar.edu/?a=d&d=miscellany19670927-01.2.4&srpos=1&e=------196-en-20--1--txt-txIN-protest-------,1967-09-27,,,entire student body,,,"anti-war movement, anti-Vietnam war","war, government",student organization,"The Vassar Committee for Peace (student org), The Vassar Faculty Committee for Peace in Vietnam",,"teach-ins, lecture series, support of regional ""peace-oriented political candidates"", alliance with other peace groups in the area/at other colleges, the Mobilization for Peace March on Washington, week of protest",Vassar College,,,"Vassar to Join Vietnam Protest

The Vassar Faculty Committee for Peace in Vietnam will hold its first open meeting tonight at S;3O in the Aula. Fhe ad hoc committee, which organized tsvo sveeks ago under the chairmanship of Linda Nochlin, associate professor of art, svill svork simultaneously and in conjunction with The Vassar Committee for Peace, a student organization. lonight's meeting will focus on three areas for protest: plans for campus activities such as a teach-in or lecture series; regional activities including support of ""peace-oriented political candidates"" and cooperation with other peace groups at nearbs colleges and in the community; national action as part of the University Council. Activity at earlier student and faculty for peace organizational meetings has tieen directed toward college participation in

the Mobilization for Peace March on Washington, Octoler 21, and in the sveek of protest to precede it. With the guidance of Frederic Wood, Jr., Vassar chaplain, the student committee tsvo sveeks ago proposed a ten-das program of protest activity as preparation for college participation in the march. The program will legin with a lecture bs Ness York limes correspondent Harrison Salisbury, scheduled bs the college for i>ctol«r 11. The follosving evening Mr, Wood svill speak on the morality of the svar and kick-off a formal organizational meeting for Vassar protest strategy. student organizers Kaths Gosliner '69 and Vera Savin '70 also hope to schedule talks bs GPs who protest the war and movies of an anti-war nature. Thes svill work with the faculty committee to complete the formal sveek of Vietnam protest in Oc-

toiler and to plan programs that will sustain interest In the antiwar movement throughout the year."
Vassar,The Miscellany News,Professor protests Vassar's association to IBM due to their war contracts and calls for their colleagues to renounce a part of their salary to draw attention to the issue and force the administration to cut ties.,https://newspaperarchives.vassar.edu/?a=d&d=miscellany19700220-01.2.8&e=-12-1969--01-1986--en-20-miscellany-1-byDA-txt-txIN-protest-------,1970-02-20,,,small,IBM's pentagon afiliation,Vassar's investment in IBM,"anti-war movement, divestment, IMB",administration,professors,,,Letter,Vassar College,Yes,vc_imbconsortium,"Correct this text

Letters to the Editor

Howard L. Green Associate Professor of English

lo the Editor: Professors Wittnerand Novack and their student associates depict very clearly (in the Misc Supplement ""The Profits of Death"") the immorality of IBM's participation in defense work, and their indictment of Vassar's consequent immorality in deriving pari of its funds from IBM stock is compelling. The only weakness in their presentation seems to me to lie in the actions they advocate. Having known I his administration and faculty for twenty years, I somehow find it a little hard to visualize Mr. Watson being goaded into cancelling IBM's contracts with the Pentagon because our administrators talk to their business friends or because our faculty delays approval of the technology center. Picketing I B M's plants and making, protests at IBM stockholder meetings would, perhaps, be a little more effective, but these are. after all. stale tactics. In this situation, we need to make a strong and unequivocal moral gesture. I had originally thought that the faculty could make such a gesture by renouncing that part of our salaries which is derived from war profits, hut that would entail going through the entire Vassar portfolio to determine what part of the earnings of each corporation was attributable to defense-related work and how much of that should rightly be attributed to Vassar's assets in terms of dividends received and capital gains realized (adjusted, of course, for stock splits and dividends declared, stock rights issued, and pooling-of-interests due to mergers consummated-if an) -during the holding period). However, as I re-read the Misc Supplement. I realized that all these computations would be not only time-consuming but unnecessary. For. as Professor Wittner and his associates make abundantly clear. IBM as a whole is responsible for the morality of its parts, and 1 am sure they would not want themselves or the Vassar community open to the charge of preaching what they are not willing to practise. If. therefore, we all really wish to avoid this charge, as long as \ ass,ir College retains any stock in .my corporation involved in defense work, we—as members ol the Vassar faculty—should re nnoun C c our salaries completely . In that way . 1 feel, our protest would attract worldwide attention, it would arraign with one stroke not only IBM but all corporations involved in defense work, and-most important of all—our moral position would be impregnable. . . which I'm afraid it isn't for any of us who stay on the payroll. II Professors Wittner and \ov.ick would take the lead in this matter, they would certainly attract a large and enthusiastic following among the faculty, and the students would know once and for all which of their teachers were truly righteous at heart and which were (however secretly) mere lackeys of the Establishment. In conclusion, I hope thai students who read this will not think of il merely as another example of the tired old tradition of the faculty arrogating to itself all the important rights and privileges. By no means! I think thai students should have the same rights and privileges as members of the faculty, including the right and privilege 01 self-sacrifice. In this particular situation, having no salaries, they cannot very well renounce them, But since the annual lee which a student pays is S 1400, and since (according to latest figures) each student costs the college 15800! ever) student gets 12400 free and deal frOKI the College anriu.illv Because tins money comes from gills. c n d o w m c n I and o I he i investment income (all oi it

necessarily tainted by war profits), those students who wished to support this movement could do something every bit as dramatic as the faculty by making the college take back this $2400 every year. Perhaps Mr. Lieverman and Miss Ridgway, as co-signers of the Vassar-Watson Correspondence, might want to start the ball rolling. Sincerely yours."
Vassar,The Miscellany News,"Students protest mandatory gym classes, college students shouldn't be forced to take classes and since male students will be allowed the following year",https://newspaperarchives.vassar.edu/?a=d&d=miscellany19700220-01.2.4&srpos=5&e=-12-1969--01-1986--en-20-miscellany-1-byDA-txt-txIN-protest-------,1970-02-21,,,small,Male students entrance to Vassar,,"co-ed, sports",administration,students,,,"boycott, signs",Vassar College,,,"P.E. Requirements Under Fire""Trick the Timm-Boycott Gym""

BY LISA ELLIOTT

Opting for total abolition rather than reform, a small group of students has been conducting a boycott of stillmandatory gym classes. In the meanll m c. the curriculu m committee, which met with the physical education department earlier in the year to work out a system of partial exemptions, will see the department again to discuss further changes in requirements. The boyeotters are a group with no name, no leaders and little formal structure. Their presence is evidenced mainly through signs asking students to stay away from class. These have appeared intermit tantly on bulletin boards, random trees - especially near Kenyon - and on the closely-watched ride boards. The signs bear original slogans, such as ""Tnck the Timm - Boycott Gym"" as well as old standards like ""Hell no. we won't go."" Objections to a two-year physical education requirement, recently amended to exempt those students who can demonstrate high intermediate skill in two single or dual sports

and have taken one fundamentals course, include the contention that students who have reached the college level should no longer be forced to go to classes. Their main argument, however, is that since the college plans to admit next year a large freshman class that includes, foi the first time, male students. expansion oft he gy m department will provide an unnecessary expense in an administration that is trying to eliminate a 51.2 million deficit. The question of gym requirements was also brought up in a letter from SGA president Marty Beyer to Dana Birnbaum. chairman of the curriculum committee. The letter advised Dana that the Senate Conference Committee feels that the physical education program should be abolished, except for testing of new students at the beginning of each year and maintenance o I recreational facilities at Kenyon. It also asked Dana to arrange meetings of the curriculum committee and the gym department to discuss such changes. Miss Beyer asked that the

curriculum committee consider the following five problems: 1 I How can the physical education faculty be decreased? 2) Wow will a decrease in gym requirements affect the use ol recreational facilities at Kenyon? 3) Is the formation of informal intramural teams a possible alternative to the requirement 4) How can facilities be improved by the changes in requirements? 5) What budget changes will be made? Before Miss Beyer's letter, the curriculum committee had already planned meetings with the physical education department at the request ot Miss Richey of the department. Miss Richey asked to have such meetings because she saw the boycott as one way ot approaching a problem that she believes can be solved more easily through the curriculum committee. The plans for a meeting. however, remained tentative until Miss Beyer's letter because the question of physical education requirements never seemed urgent. In a

questionnaire issued at the beginning of the year, students listed this problem as last in priority of the things for the curriculum com mi t tee to discuss, behind such things asgrading, interdepartmental programs, and honor system. Physical Education requirements will now be discussed by members of the curriculum committee as soon as a subcommittee that includes students both in favor of and actively opposed to present requirements. Meanwhile, the department notices little changein class attendance, and the increase in protest is limited to an extra sign outside the dining room."
Vassar,The Miscellany News,Anonymous student calls others to rally communities in anti-war protest or alternately fast and donate the money that would have been spent on food to American anti-poverty groups and Vietnamize civilian relief associations,https://newspaperarchives.vassar.edu/?a=d&d=miscellany19700227-01.2.7&srpos=7&e=-12-1969--01-1986--en-20-miscellany-1-byDA-txt-txIN-protest-------,1970-02-27,,,large,Vietnam war,April Moratorium,"anti-war, Vietnam war, fasting, rallying",government,students,,,"fasting, rallying",USA,,,"The April Moratorium: Taxpayer Rallies And Fasting

The plans for the Moratorium this spring are directed at focusing attention on the monetary and moral drain on America caused by the continuation of the war in Vietnam, the war continues to preoccupy and divide this country, while inflation, caused largely by the billions of dollars allotted lo wage the war, has become the nation's primary domestic concern. To raise the issue of the morality of the war as well as its disastrous economic impact, the national and local moratorium groups have outlined a two-part program, [Taxpayers' Rallies (often re-enactments of the Boston lea Party) on April 15 and a nation-wide three day fast for peace on April 13,14, and 15 have been organized. To build widespread public support for an immediate end to the war, it is critical that the anti-war groups address themselves to national issues of broad concern. The issues of inflation and high taxes as attributable to extravagant defense budgets must be clearly brought to the taxpayers of this country. The Vassar anti-war community must join this effort and actively work for its goals. This means going to the people - in Poughkeepsie and home towns to leaflet in shopping centers, business sections. IRS and income tax centers; to help organize tallies, and to urge members ol the community to express then concern to their local representatives - in congress, unions, churches, schools, or places of business. The direct participation ot the workers, homeowners, businessmen, and the poor in the April 15 activities can become a dramatic call for the stabilizing of the economy the reordering of priorities, and the termination ol the war. The second phase of the program involves a different kind ol physical labor than walking and talking; lasting among the academic, religious, and at-large communities must be emphasized to parallel the economic demonstrations against the war. A fast coinciding with rallies and other protests will once again force the nation to confront its casualty figures and to recognize that while talks continue, while Vietnamization being tested, thousands of Americans and Vietnamese are needlessly dying. National and local groups are asking that participants in the Fast donate the money they would have spent on food during those three days to a fund which will go to the Vietnamese and American victims of war - Vietnamese civilian relict agencies and American anti-poverty groups. Participate in one or both tortus of protest; urge your friends and neighbors to consider the facts and join you. Fasting or tally ing as a taxpayer are alternative and different priorities, but they both emphasize the same thing: the need for a better quality of life and the alienation of suffering. *****"
